row,reason
"{'id': 'tt0107048', 'primaryTitle': 'Groundhog Day', 'originalTitle': 'Groundhog Day', 'isAdult': 0, 'runtimeMinutes': 101, 'genres': 'Comedy,Drama,Fantasy', 'averageRating': 8.0, 'numVotes': 666512, 'budget': 14600000, 'gross': 71108591.0, 'release_date': nan, 'directors': 'Harold Ramis', 'ID_IMDB': 466}",invalid or missing year
"{'id': 'tt0110932', 'primaryTitle': 'Quiz Show', 'originalTitle': 'Quiz Show', 'isAdult': 0, 'runtimeMinutes': 133, 'genres': 'Biography,Drama,History', 'averageRating': 7.5, 'numVotes': 72316, 'budget': 31000000, 'gross': 24822619.0, 'release_date': nan, 'directors': 'Robert Redford', 'ID_IMDB': 525}",invalid or missing year
"{'id': 'tt0307453', 'primaryTitle': 'Shark Tale', 'originalTitle': 'Shark Tale', 'isAdult': 0, 'runtimeMinutes': 90, 'genres': 'Adventure,Animation,Comedy', 'averageRating': 6.0, 'numVotes': 194771, 'budget': 75000000, 'gross': 374583879.0, 'release_date': nan, 'directors': 'Bibo Bergeron, Vicky Jenson, Rob Letterman', 'ID_IMDB': 1191}",invalid or missing year
"{'id': 'tt0348333', 'primaryTitle': 'Waiting...', 'originalTitle': 'Waiting...', 'isAdult': 0, 'runtimeMinutes': 94, 'genres': 'Comedy', 'averageRating': 6.7, 'numVotes': 103903, 'budget': 3000000, 'gross': 18637690.0, 'release_date': nan, 'directors': 'Rob McKittrick', 'ID_IMDB': 1299}",invalid or missing year
"{'id': 'tt2649554', 'primaryTitle': 'Midnight Special', 'originalTitle': 'Midnight Special', 'isAdult': 0, 'runtimeMinutes': 112, 'genres': 'Drama,Mystery,Sci-Fi', 'averageRating': 6.6, 'numVotes': 83229, 'budget': 18000000, 'gross': 7112282.0, 'release_date': nan, 'directors': 'Jeff Nichols', 'ID_IMDB': 2877}",invalid or missing year
