title,year,release_date_imdb,rating_imdb
rainmaker,,,7.2
saint,1997,1997-04-03,6.2
scream 2,1997,1997-12-10,6.3
seven years in tibet,1997,1997-09-13,7.1
sliding doors,1998,1998-01-26,6.7
soldier,1998,1998-10-23,6.0
spawn,,,5.2
speed 2 cruise control,,,3.9
sphere,1998,1998-02-11,6.1
three kings,1999,1999-09-27,7.1
starship troopers,1997,1997-11-04,7.3
simple plan,1998,1998-09-12,7.5
titanic,1997,1997-11-01,7.9
tomorrow never dies,1997,1997-12-09,6.5
toy story 2,1999,1999-11-13,7.9
truman show,,,8.2
u turn,,,6.7
vegas vacation,1997,1997-02-14,5.9
volcano,1997,1997-04-15,5.5
waterboy,1998,1998-11-06,6.1
american history x,1998,1998-07-01,8.5
antz,1998,1998-09-19,6.5
armageddon,1998,1998-06-30,6.7
being john malkovich,1999,1999-09-02,7.7
blade,1998,1998-08-19,7.1
mummy,1999,1999-04-16,7.1
bugs life,1998,1998-11-14,7.2
chicken run,2000,2000-06-17,7.1
ever after,1998,1998-07-29,7.1
city of angels,1998,1998-04-10,6.7
deep impact,1998,1998-05-07,6.2
dogma,1999,1999-05-21,7.3
13th warrior,1999,1999-08-13,6.6
enemy of the state,,,7.3
eyes wide shut,1999,1999-07-13,7.5
fantastic four,2005,2005-06-29,5.7
fear and loathing in las vegas,1998,1998-05-15,7.5
frida,2002,2002-08-29,7.3
from hell,2001,2001-09-08,6.7
godzilla,,,5.4
stepmom,1998,1998-12-15,6.8
green mile,1999,1999-12-06,8.6
half baked,1998,1998-01-16,6.6
halloween h20 20 years later,1998,1998-07-27,5.8
leggenda del pianista sulloceano,1998,1998-10-28,8.0
lord of the rings the fellowship of the ring,2001,2001-12-10,8.8
lost in space,1998,1998-04-03,5.2
man in the iron mask,,,6.5
mask of zorro,1998,1998-07-10,6.8
mercury rising,1998,1998-04-01,6.1
mission impossible ii,2000,2000-05-18,6.1
mulan,1998,1998-06-05,7.7
negotiator,1998,1998-07-29,7.3
night at the roxbury,1998,1998-10-01,6.2
out of sight,1998,1998-06-26,7.0
payback,1999,1999-02-05,7.1
perfect murder,,,6.6
pleasantville,1998,1998-09-17,7.5
practical magic,1998,1998-10-16,6.3
prince of egypt,1998,1998-12-16,7.2
resident evil,2002,2002-03-12,6.6
rush hour,1998,1998-09-18,7.0
saving private ryan,1998,1998-07-21,8.6
six days seven nights,1998,1998-06-12,5.9
snake eyes,1998,1998-07-30,6.1
star trek insurrection,1998,1998-12-10,6.4
tarzan,1999,1999-06-12,7.3
thin red line,1998,1998-12-22,7.6
us marshals,1998,1998-03-06,6.5
vampires,1998,1998-04-15,6.1
wag the dog,1997,1997-12-17,7.1
wedding singer,1998,1998-02-12,6.9
what dreams may come,1998,1998-09-28,7.0
wild things,1998,1998-03-20,6.6
wild wild west,1999,1999-06-30,4.9
x files,1998,1998-06-19,7.0
xmen,2000,2000-07-12,7.3
existenz,1999,1999-02-16,6.8
men in black ii,2002,2002-07-03,6.2
titan ae,2000,2000-06-13,6.6
star wars episode i the phantom menace,1999,1999-05-16,6.5
emperors new groove,2000,2000-11-22,7.4
corpse bride,2005,2005-09-07,7.4
star wars episode ii attack of the clones,2002,2002-05-12,6.6
star wars episode iii revenge of the sith,2005,2005-05-12,7.6
lethal weapon 4,1998,1998-07-07,6.6
ronin,,,7.2
small soldiers,1998,1998-07-10,6.2
analyze this,1999,1999-03-05,6.7
life,1999,1999-04-13,6.8
blast from the past,1999,1999-01-27,6.7
cider house rules,1999,1999-09-07,7.4
he got game,1998,1998-04-25,6.9
heartbreakers,2001,2001-03-23,6.2
notting hill,1999,1999-04-27,7.2
man on the moon,1999,1999-12-07,7.4
shrek,2001,2001-04-22,7.9
election,1999,1999-04-23,7.3
elizabeth,1998,1998-09-08,7.4
cant hardly wait,1998,1998-06-12,6.5
rounders,1998,1998-08-25,7.3
rushmore,1998,1998-09-17,7.6
youve got mail,1998,1998-12-18,6.7
iron giant,1999,1999-07-31,8.1
patch adams,1998,1998-10-21,6.8
theres something about mary,1998,1998-07-15,7.1
i still know what you did last summer,1998,1998-11-13,4.7
dinosaur,2000,2000-05-13,6.4
bowfinger,1999,1999-08-13,6.5
baseketball,1998,1998-07-28,6.5
mystery men,1999,1999-07-22,6.1
october sky,1999,1999-02-19,7.8
matrix,1999,1999-03-24,8.7
planet of the apes,2001,2001-07-26,5.7
treasure planet,2002,2002-11-05,7.2
faculty,1998,1998-11-12,6.6
siege,1998,1998-11-06,6.4
scream 3,2000,2000-02-03,5.6
talented mr ripley,,,7.4
8mm,1999,1999-02-19,6.6
pitch black,2000,2000-02-18,7.0
arlington road,1999,1999-03-19,7.2
entrapment,,,6.3
fight club,1999,1999-09-10,8.8
shakespeare in love,1998,1998-12-03,7.1
astronauts wife,1999,1999-08-27,5.4
intolerable cruelty,2003,2003-09-02,6.3
pi,1998,1998-01-19,7.3
road to el dorado,2000,2000-03-31,6.9
cruel intentions,,,6.8
go,1999,1999-02-20,7.2
lake placid,1999,1999-07-15,5.8
training day,2001,2001-09-02,7.7
thirteenth floor,1999,1999-04-16,7.0
insider,1999,1999-10-28,7.8
inspector gadget,1999,1999-07-18,4.2
u571,2000,2000-04-17,6.6
big daddy,,,6.4
ninth gate,1999,1999-08-25,6.7
world is not enough,1999,1999-11-08,6.4
american psycho,2000,2000-01-21,7.6
boondock saints,1999,1999-08-04,7.7
bride of chucky,1998,1998-10-15,5.6
generals daughter,1999,1999-06-15,6.4
nutty professor ii the klumps,2000,2000-07-24,4.5
spiderman,2002,2002-04-30,7.4
stigmata,1999,1999-09-10,6.2
austin powers the spy who shagged me,1999,1999-06-08,6.6
bone collector,1999,1999-08-29,6.7
thirteen days,2000,2000-12-16,7.3
lara croft tomb raider,2001,2001-06-11,5.7
urban legend,1998,1998-09-25,5.6
end of days,1999,1999-11-16,5.8
any given sunday,1999,1999-12-16,6.9
high fidelity,2000,2000-03-17,7.4
legend of bagger vance,2000,2000-10-29,6.7
happiness,1998,1998-05-15,7.7
10 things i hate about you,1999,1999-03-31,7.3
deep blue sea,1999,1999-07-26,5.9
double jeopardy,1999,1999-09-21,6.5
joan of arc,1999,1999-10-18,6.4
never been kissed,1999,1999-03-26,6.0
office space,1999,1999-02-19,7.6
festen,1998,1998-05-17,8.1
following,1998,1998-04-24,7.5
thomas crown affair,1999,1999-07-27,6.8
psycho,,,4.6
south park bigger longer uncut,1999,1999-06-17,7.7
virgin suicides,1999,1999-05-19,7.2
behind enemy lines,2001,2001-11-17,6.4
cold mountain,2003,2003-12-07,7.2
charlies angels,2000,2000-10-22,5.6
shes all that,1999,1999-01-19,5.9
what lies beneath,2000,2000-07-18,6.6
cast away,2000,2000-12-07,7.8
ghost world,2001,2001-06-16,7.3
shaft,2000,2000-06-16,6.0
sleepy hollow,,,7.3
jurassic park iii,2001,2001-07-16,5.9
runaway bride,1999,1999-07-25,5.6
american pie,1999,1999-07-07,7.0
beach,2000,2000-02-02,6.6
bringing out the dead,1999,1999-10-22,6.8
hollow man,2000,2000-08-02,5.8
stir of echoes,1999,1999-07-28,6.9
sum of all fears,2002,2002-05-29,6.4
along came a spider,2001,2001-04-02,6.4
stuart little,1999,1999-12-05,6.0
romeo must die,2000,2000-03-20,6.1
sinbad legend of the seven seas,2003,2003-06-22,6.7
spirit stallion of the cimarron,2002,2002-05-18,7.2
straight story,1999,1999-05-21,8.0
mulholland dr,2001,2001-05-16,7.9
hellboy,2004,2004-03-30,6.8
lord of the rings the return of the king,2003,2003-12-01,9.0
lord of the rings the two towers,2002,2002-12-05,8.8
sixth sense,1999,1999-08-02,8.2
dancer in the dark,2000,2000-05-17,7.9
american beauty,1999,1999-09-08,8.3
how the grinch stole christmas,2000,2000-11-08,6.3
haunting,1999,1999-07-20,5.0
keeping the faith,2000,2000-04-14,6.4
boys dont cry,,,7.5
bad boys ii,2003,2003-07-09,6.6
girl interrupted,1999,1999-12-08,7.3
gladiator,2000,2000-05-01,8.5
final fantasy the spirits within,2001,2001-07-02,6.4
hurricane,1999,1999-09-17,7.6
scary movie,2000,2000-07-07,6.3
magnolia,1999,1999-12-08,8.0
galaxy quest,1999,1999-12-23,7.4
perfect storm,2000,2000-06-26,6.5
ringu,1998,1998-01-31,7.2
15 minutes,2001,2001-03-01,6.1
quills,,,7.2
requiem for a dream,2000,2000-05-14,8.3
blue streak,1999,1999-09-17,6.3
finding forrester,2000,2000-12-01,7.3
minority report,2002,2002-06-17,7.6
terminator 3 rise of the machines,2003,2003-06-30,6.3
traffic,2000,2000-12-06,7.6
almost famous,2000,2000-09-08,7.9
boiler room,,,7.0
bicentennial man,1999,1999-12-13,6.9
me myself irene,,,6.6
mission to mars,2000,2000-03-06,5.7
phone booth,2002,2002-09-10,7.1
knights tale,2001,2001-03-08,6.9
shanghai noon,2000,2000-05-19,6.6
wonder boys,2000,2000-02-22,7.2
battlefield earth,2000,2000-05-10,2.5
house on haunted hill,1999,1999-10-27,5.6
little nicky,2000,2000-11-02,5.3
blair witch project,1999,1999-01-25,6.5
frequency,,,7.4
space cowboys,2000,2000-08-01,6.5
gone in sixty seconds,2000,2000-06-05,6.5
patriot,2000,2000-06-27,7.2
blade ii,2002,2002-03-21,6.7
whole nine yards,2000,2000-02-17,6.7
wo hu cang long,2000,2000-05-18,7.9
o brother where art thou,2000,2000-05-13,7.7
vertical limit,2000,2000-12-03,5.9
replacements,2000,2000-08-07,6.6
28 days,2000,2000-02-08,6.1
erin brockovich,,,7.4
final destination,2000,2000-03-16,6.7
zoolander,2001,2001-09-28,6.5
monsters inc,2001,2001-10-28,8.1
red planet,2000,2000-11-06,5.7
bank job,2008,2008-02-19,7.2
coyote ugly,2000,2000-07-31,5.7
moulin rouge,2001,2001-05-09,7.6
men of honor,2000,2000-09-14,7.2
bring it on,2000,2000-08-22,6.1
deuce bigalow male gigolo,1999,1999-12-02,5.7
save the last dance,2001,2001-01-09,6.2
joy ride,2001,2001-09-09,6.6
children of men,2006,2006-09-03,7.9
what women want,2000,2000-12-13,6.4
big mommas house,2000,2000-05-31,5.2
memento,2000,2000-09-05,8.4
mummy returns,2001,2001-04-29,6.4
wedding planner,2001,2001-01-26,5.3
cell,2000,2000-08-17,6.4
ginger snaps,2000,2000-08-01,6.8
remember the titans,2000,2000-09-23,7.8
jason x,2001,2001-07-24,4.4
fabuleux destin damelie poulain,2001,2001-04-25,8.3
awake,2007,2007-11-14,6.5
meet the parents,2000,2000-10-06,7.0
miss congeniality,2000,2000-12-14,6.3
2046,2004,2004-05-20,7.4
ai artificial intelligence,2001,2001-06-26,7.2
hannibal,2001,2001-02-09,6.8
pearl harbor,2001,2001-05-21,6.2
road trip,2000,2000-05-11,6.5
enemy at the gates,2001,2001-02-07,7.5
6th day,2000,2000-10-28,5.9
gangs of new york,2002,2002-12-09,7.5
unbreakable,2000,2000-11-14,7.3
best in show,2000,2000-09-08,7.4
original sin,2001,2001-07-11,6.0
family man,2000,2000-12-12,6.8
gift,2000,2000-12-18,6.7
bandits,2001,2001-10-12,6.5
blow,2001,2001-03-29,7.5
pay it forward,2000,2000-10-12,7.2
score,2001,2001-07-09,6.8
spy kids,2001,2001-03-18,5.6
51st state,2001,2001-12-07,6.3
ghosts of mars,2001,2001-08-24,4.9
proof of life,2000,2000-12-04,6.3
rivieres pourpres,2000,2000-09-27,6.9
atlantis the lost empire,2001,2001-06-02,6.9
bedazzled,2000,2000-10-17,6.1
others,2001,2001-08-02,7.6
sweet november,2001,2001-02-12,6.7
fast and the furious,2001,2001-06-18,6.8
collateral damage,2002,2002-02-04,5.5
matrix reloaded,2003,2003-05-07,7.2
mexican,2001,2001-03-02,6.1
pacte des loups,2001,2001-01-31,7.0
pledge,2001,2001-01-09,6.8
equilibrium,2002,2002-12-06,7.3
queen of the damned,2002,2002-01-10,5.2
cats dogs,2001,2001-06-23,5.1
freddy got fingered,2001,2001-04-18,4.6
oceans eleven,2001,2001-12-05,7.7
serendipity,2001,2001-09-13,6.8
chocolat,2000,2000-12-15,7.3
harry potter and the sorcerers stone,2001,2001-11-04,7.6
dude wheres my car,2000,2000-12-10,5.5
matrix revolutions,2003,2003-10-16,6.7
man who wasnt there,2001,2001-05-13,7.5
bridget joness diary,2001,2001-04-04,6.8
stuart little 2,2002,2002-07-14,5.5
wet hot american summer,2001,2001-01-23,6.5
40 days and 40 nights,2002,2002-03-01,5.6
swordfish,2001,2001-05-11,6.5
sen to chihiro no kamikakushi,2001,2001-07-20,8.6
windtalkers,2002,2002-06-14,6.1
y tu mama tambien,2001,2001-06-08,7.7
thir13en ghosts,2001,2001-10-23,5.6
joe dirt,,,6.0
amores perros,2000,2000-05-14,8.1
bulletproof monk,2003,2003-04-16,5.4
count of monte cristo,2002,2002-01-23,7.7
another day,2002,2002-11-11,6.1
donnie darko,2001,2001-01-19,8.0
nueve reinas,2000,2000-08-31,7.9
princess diaries,2001,2001-07-29,6.4
super troopers,2001,2001-01-19,7.0
kabhi khushi kabhie gham,2001,2001-12-14,7.4
ali,2001,2001-12-11,6.7
billy elliot,2000,2000-05-19,7.7
legally blonde,2001,2001-06-26,6.4
rat race,2001,2001-07-30,6.4
unfaithful,2002,2002-05-08,6.7
evolution,2001,2001-06-08,6.1
harts war,2002,2002-02-15,6.3
how to lose a guy in 10 days,2003,2003-01-27,6.5
john q,2002,2002-02-15,7.1
house of 1000 corpses,2003,2003-03-13,6.0
maid in manhattan,2002,2002-12-13,5.4
american pie 2,2001,2001-08-06,6.4
pianist,2002,2002-05-24,8.5
reign of fire,2002,2002-07-09,6.2
star trek nemesis,2002,2002-12-09,6.4
sweetest thing,2002,2002-04-12,5.2
animal,2001,2001-03-21,4.8
espinazo del diablo,2001,2001-04-20,7.4
shallow hal,2001,2001-11-01,6.0
sweet home alabama,2002,2002-09-20,6.2
road to perdition,2002,2002-07-09,7.7
swat,2003,2003-08-08,6.0
scary movie 2,2001,2001-07-04,5.3
about schmidt,2002,2002-05-22,7.2
panic room,2002,2002-03-18,6.8
s1m0ne,2002,2002-08-23,6.1
bourne identity,2002,2002-06-06,7.8
ghost rider,2007,2007-02-14,5.3
my big fat greek wedding,2002,2002-02-22,6.6
vanilla sky,2001,2001-12-10,6.9
dont say a word,2001,2001-09-24,6.3
jay and silent bob strike back,2001,2001-08-22,6.8
session 9,2001,2001-07-31,6.4
jeepers creepers,,,6.2
basic,2003,2003-03-28,6.4
catch me if you can,2002,2002-12-16,8.1
changing lanes,2002,2002-04-07,6.5
frailty,2001,2001-11-17,7.2
murder by numbers,2002,2002-04-19,6.1
americas sweethearts,2001,2001-07-17,5.7
black hawk down,2001,2001-12-18,7.7
girl next door,2004,2004-02-18,6.7
mothman prophecies,2002,2002-01-25,6.4
one hour photo,2002,2002-01-13,6.8
royal tenenbaums,2001,2001-10-05,7.6
batoru rowaiaru,,,7.5
duplex,2003,2003-09-26,5.9
finding nemo,2003,2003-05-18,8.2
kill bill vol 1,2003,2003-09-29,8.2
rush hour 2,2001,2001-07-26,6.7
spy game,2001,2001-11-19,7.1
k19 the widowmaker,2002,2002-07-19,6.7
one,2001,2001-11-02,5.9
scoobydoo,2002,2002-06-08,5.3
adaptation,2002,2002-12-03,7.7
ice age,2002,2002-03-12,7.5
time machine,2002,2002-03-04,6.0
beautiful mind,2001,2001-12-13,8.2
majestic,2001,2001-12-11,6.9
hunted,2003,2003-03-11,6.1
confessions of a dangerous mind,2002,2002-12-11,7.0
kiss of the dragon,2001,2001-06-25,6.6
eight legged freaks,2002,2002-05-30,5.5
last castle,2001,2001-10-19,6.9
kpax,2001,2001-10-22,7.4
punchdrunk love,2002,2002-05-19,7.3
orange county,2002,2002-01-07,6.2
johnny english,2003,2003-04-06,6.2
hours,2002,2002-12-15,7.5
secretary,2002,2002-01-11,6.9
mala educacion,2004,2004-03-19,7.4
lilo stitch,2002,2002-06-16,7.3
about a boy,2002,2002-04-26,7.1
dogville,2003,2003-05-19,8.0
i am sam,2001,2001-12-03,7.6
scorpion king,2002,2002-04-15,5.5
not another teen movie,,,5.7
we were soldiers,2002,2002-02-25,7.2
how high,2001,2001-12-17,6.2
insomnia,2002,2002-05-03,7.2
mr deeds,2002,2002-06-28,5.8
dog soldiers,2002,2002-03-22,6.8
gosford park,2001,2001-11-07,7.2
walk to remember,2002,2002-01-23,7.3
bubba hotep,2002,2002-06-09,6.9
national lampoons van wilder,2002,2002-04-04,6.4
showtime,2002,2002-03-11,5.5
dreamcatcher,2003,2003-03-06,5.5
monsters ball,2001,2001-11-11,7.1
once upon a time in mexico,2003,2003-08-27,6.3
signs,2002,2002-07-29,6.8
siu lam juk kau,2001,2001-07-05,7.3
triplettes de belleville,2003,2003-05-18,7.7
hulk,2003,2003-06-17,5.6
what a girl wants,2003,2003-03-27,5.8
spy kids 2 island of lost dreams,2002,2002-08-07,5.3
daredevil,2003,2003-02-09,5.3
ghost ship,2002,2002-10-22,5.6
28 days later,2002,2002-11-01,7.5
red dragon,2002,2002-09-30,7.2
analyze that,2002,2002-12-06,5.9
butterfly effect,2004,2004-01-17,7.6
life of david gale,2003,2003-02-07,7.5
meet the fockers,2004,2004-12-16,6.3
tuxedo,2002,2002-09-19,5.4
x2,2003,2003-04-24,7.4
recruit,2003,2003-01-25,6.6
rules of attraction,2002,2002-10-11,6.6
before the devil knows youre dead,2007,2007-09-07,7.3
mortal kombat,,,6.0
phantom of the opera,2004,2004-12-09,7.2
rush hour 3,2007,2007-07-30,6.2
transporter,2002,2002-10-02,6.8
rent,2005,2005-11-23,6.8
austin powers in goldmember,2002,2002-07-22,6.2
harry potter and the chamber of secrets,2002,2002-11-03,7.4
wrong turn,2003,2003-05-30,6.1
xxx,2002,2002-08-09,5.8
koroshiya 1,2001,2001-09-14,7.0
chronicles of riddick,2004,2004-06-03,6.6
i spy,2002,2002-10-23,5.4
mindhunters,2004,2004-03-19,6.3
ring,2002,2002-10-02,7.1
shrek 2,2004,2004-05-08,7.3
8 mile,2002,2002-09-08,7.2
core,2003,2003-03-25,5.5
chicago,2002,2002-12-10,7.2
gigli,2003,2003-07-27,2.6
ying xiong,2002,2002-10-24,7.9
jersey girl,2004,2004-03-09,6.2
shanghai knights,2003,2003-01-30,6.2
timeline,2003,2003-11-19,5.6
jeepers creepers 2,2003,2003-08-08,5.6
old school,2003,2003-02-13,7.0
cabin fever,2002,2002-09-14,5.6
harry potter and the prisoner of azkaban,2004,2004-05-23,7.9
mona lisa smile,2003,2003-12-19,6.5
santa clause 2,2002,2002-10-27,5.7
anger management,2003,2003-03-05,6.2
charlies angels full throttle,2003,2003-06-18,4.9
just married,2003,2003-01-08,5.5
scary movie 3,2003,2003-10-20,5.5
shark tale,,,6.0
solaris,2002,2002-11-19,6.2
25th hour,2002,2002-12-16,7.6
bad santa,2003,2003-11-18,7.1
finding neverland,2004,2004-09-04,7.7
final destination 2,2003,2003-01-30,6.2
identity,2003,2003-04-23,7.3
dreamers,2003,2003-09-01,7.1
boksuneun naui geot,2002,2002-03-29,7.5
bowling for columbine,2002,2002-05-16,8.0
master and commander the far side of the world,2003,2003-11-11,7.5
holes,2003,2003-04-11,7.0
league of extraordinary gentlemen,2003,2003-07-11,5.8
curse of the wererabbit,2005,2005-09-04,7.5
cat in the hat,2003,2003-11-08,4.0
out of time,2003,2003-09-07,6.5
runaway jury,2003,2003-10-09,7.1
two weeks notice,2002,2002-12-12,6.1
love actually,2003,2003-09-07,7.6
tears of the sun,2003,2003-03-03,6.6
bruce almighty,2003,2003-05-14,6.8
21 grams,2003,2003-09-05,7.6
house of sand and fog,2003,2003-12-19,7.5
open range,2003,2003-08-11,7.4
peter pan,2003,2003-12-09,6.8
spiderman 2,2004,2004-06-25,7.5
bridget jones the edge of reason,2004,2004-10-28,6.0
cars,2006,2006-03-14,7.2
daddy day care,2003,2003-05-04,5.6
hidalgo,2004,2004-02-17,6.7
incredibles,2004,2004-10-27,8.0
italian job,2003,2003-05-30,7.0
mission impossible iii,2006,2006-04-24,6.9
resident evil apocalypse,2004,2004-08-23,6.1
sahara,2005,2005-04-04,6.0
big fish,2003,2003-12-04,8.0
day after tomorrow,2004,2004-05-17,6.5
elf,2003,2003-10-09,7.1
kingdom of heaven,2005,2005-05-02,7.2
underworld,2003,2003-09-08,7.0
2 fast 2 furious,2003,2003-06-03,5.9
freaky friday,2003,2003-08-04,6.3
jackass the movie,2002,2002-10-21,6.6
texas chainsaw massacre,2003,2003-10-15,6.2
wicker park,2004,2004-07-04,6.9
lara croft tomb raider the cradle of life,2003,2003-07-21,5.5
last samurai,2003,2003-11-22,7.8
matchstick men,2003,2003-09-02,7.3
pirates of the caribbean the curse of the black pearl,2003,2003-06-28,8.1
mystic river,2003,2003-05-23,7.9
over the hedge,2006,2006-04-22,6.7
secondhand lions,2003,2003-09-05,7.5
stepford wives,2004,2004-06-06,5.3
whole ten yards,2004,2004-04-07,5.5
around the world in 80 days,2004,2004-06-13,5.8
catwoman,2004,2004-07-19,3.4
coraline,2009,2009-02-05,7.7
ella enchanted,2004,2004-04-09,6.3
rundown,2003,2003-09-22,6.6
man on fire,2004,2004-04-18,7.7
thirteen,2003,2003-01-17,6.8
under the tuscan sun,2003,2003-09-20,6.7
american wedding,2003,2003-07-24,6.3
brother bear,2003,2003-10-20,6.8
freddy vs jason,2003,2003-08-13,5.7
seabiscuit,2003,2003-07-22,7.3
xxx state of the union,2005,2005-04-27,4.5
harry potter and the goblet of fire,2005,2005-11-06,7.7
punisher,2004,2004-04-12,6.4
scoobydoo 2 monsters unleashed,2004,2004-03-20,5.2
notebook,,,7.8
school of rock,2003,2003-09-09,7.2
troy,2004,2004-05-09,7.3
garden state,2004,2004-01-16,7.4
legally blonde 2 red white blonde,2003,2003-06-30,4.8
girl with a pearl earring,2003,2003-08-31,6.9
ladykillers,2004,2004-03-26,6.2
lost in translation,2003,2003-08-29,7.7
passion of the christ,2004,2004-02-25,7.2
starsky hutch,2004,2004-02-26,6.1
13 going on 30,2004,2004-04-14,6.3
somethings gotta give,2003,2003-12-03,6.7
cellular,2004,2004-09-10,6.5
live free or die hard,2007,2007-06-12,7.1
eternal sunshine of the spotless mind,2004,2004-03-09,8.3
haunted mansion,2003,2003-11-26,5.2
paycheck,2003,2003-12-19,6.3
polar express,2004,2004-10-21,6.6
spy kids 3 game over,2003,2003-07-13,4.3
stuck on you,2003,2003-12-10,5.8
van helsing,2004,2004-05-03,6.1
mou gaan dou,2002,2002-12-12,8.0
aviator,2004,2004-12-14,7.5
series of unfortunate events,2004,2004-12-16,6.8
hostage,2005,2005-03-09,6.5
station agent,2003,2003-01-26,7.6
monster,2003,2003-11-16,7.3
unleashed,2005,2005-01-10,7.0
along came polly,2004,2004-01-12,6.0
50 first dates,2004,2004-02-03,6.8
good shepherd,2006,2006-12-11,6.7
i robot,2004,2004-07-07,7.1
long dimanche de fiancailles,2004,2004-10-27,7.6
spongebob squarepants movie,2004,2004-11-14,7.1
sky captain and the world of tomorrow,2004,2004-04-04,6.1
alexander,2004,2004-11-16,5.6
hauru no ugoku shiro,2004,2004-09-05,8.2
superman returns,2006,2006-06-21,6.1
waiting,,,6.7
gothika,2003,2003-11-13,5.8
cheaper by the dozen,2003,2003-11-22,5.9
king arthur,2004,2004-06-28,6.3
ladder 49,2004,2004-09-20,6.5
miracle,2004,2004-02-02,7.4
oceans twelve,2004,2004-12-08,6.5
ray,2004,2004-09-12,7.7
madagascar,2005,2005-05-25,6.9
walking tall,2004,2004-03-29,6.3
cinderella man,2005,2005-05-23,8.0
salinui chueok,2003,2003-05-02,8.1
science des reves,2006,2006-02-11,7.2
brothers grimm,2005,2005-08-26,5.9
lords of dogtown,2005,2005-06-03,7.1
eurotrip,2004,2004-02-20,6.6
cinderella story,2004,2004-07-10,5.9
forgotten,2004,2004-09-24,5.8
garfield the movie,2004,2004-06-06,5.0
family stone,2005,2005-11-26,6.3
i heart huckabees,2004,2004-09-10,6.5
mr mrs smith,2005,2005-06-07,6.5
elektra,2005,2005-01-08,4.7
anchorman the legend of ron burgundy,2004,2004-06-09,7.1
robots,2005,2005-03-10,6.4
walk the line,2005,2005-09-04,7.8
blade trinity,2004,2004-12-07,5.8
secret life of walter mitty,2013,2013-10-05,7.3
wimbledon,2004,2004-09-13,6.3
constantine,2005,2005-02-07,7.0
king kong,2005,2005-12-05,7.2
fahrenheit 911,2004,2004-05-17,7.5
inglourious basterds,2009,2009-05-20,8.4
machinist,2004,2004-01-18,7.6
scary movie 4,2006,2006-04-12,5.1
son of the mask,2005,2005-02-11,2.3
terminal,2004,2004-06-09,7.4
kinsey,2004,2004-09-04,7.1
life aquatic with steve zissou,2004,2004-11-20,7.2
box,2009,2009-09-17,5.6
dawn of the dead,,,7.3
elephant,2003,2003-05-18,7.1
chronicles of narnia the lion the witch and the wardrobe,2005,2005-12-07,6.9
secret window,2004,2004-03-07,6.5
taking lives,2004,2004-03-16,6.2
oldeuboi,2003,2003-11-21,8.4
dodgeball a true underdog story,2004,2004-06-18,6.7
without a paddle,2004,2004-08-20,5.8
babylon ad,2008,2008-08-20,5.5
syriana,2005,2005-11-23,6.9
tenacious d in the pick of destiny,2006,2006-10-26,6.8
walk among the tombstones,2014,2014-09-18,6.5
happy feet,2006,2006-11-12,6.4
harold kumar go to white castle,2004,2004-05-20,7.0
jacket,2005,2005-01-23,7.1
squid and the whale,2005,2005-01-24,7.3
charlie and the chocolate factory,2005,2005-07-10,6.7
deuce bigalow european gigolo,2005,2005-08-06,4.7
indiana jones and the kingdom of the crystal skull,2008,2008-05-18,6.2
hannibal rising,2007,2007-02-07,6.1
manchurian candidate,2004,2004-07-19,6.6
room,2003,2003-06-27,3.6
village,2004,2004-07-26,6.6
elizabethtown,2005,2005-09-04,6.3
im not there,,,6.8
national treasure,2004,2004-11-08,6.9
princess diaries 2 royal engagement,2004,2004-08-07,5.8
collateral,2004,2004-08-02,7.5
four christmases,2008,2008-11-20,5.7
fun with dick and jane,2005,2005-12-21,6.2
jurassic world,2015,2015-05-29,6.9
monsterinlaw,2005,2005-05-05,5.5
ultraviolet,2006,2006-03-03,4.3
avp alien vs predator,2004,2004-08-12,5.7
spanglish,2004,2004-12-17,6.4
stay,2005,2005-09-24,6.7
chicken little,2005,2005-10-06,5.7
hitchhikers guide to the galaxy,2005,2005-04-20,6.7
iron man,2008,2008-04-14,7.9
bourne supremacy,2004,2004-07-16,7.7
wedding date,2005,2005-01-27,6.1
team america world police,2004,2004-10-11,7.2
batman begins,2005,2005-05-31,8.2
journey to the center of the earth,2008,2008-07-10,5.8
kung fu,2004,2004-02-10,7.7
kiss kiss bang bang,2005,2005-05-14,7.5
halloween,2007,2007-08-31,6.0
harry potter and the order of the phoenix,2007,2007-06-28,7.5
interpreter,2005,2005-04-04,6.4
open water,2003,2003-10-26,5.8
bewitched,2005,2005-06-24,4.8
napoleon dynamite,2004,2004-01-17,7.0
sideways,2004,2004-09-13,7.5
alfie,2004,2004-10-22,6.2
white noise,2005,2005-01-07,5.5
crash,2004,2004-09-10,7.7
rum diary,2011,2011-10-13,6.1
closer,2004,2004-11-22,7.2
xmen the last stand,2006,2006-05-22,6.6
flight of the phoenix,2004,2004-12-17,6.1
mean girls,2004,2004-04-19,7.1
ring two,2005,2005-03-17,5.4
be cool,2005,2005-03-04,5.6
dukes of hazzard,2005,2005-07-27,5.1
gnomeo juliet,2011,2011-01-23,5.9
into the blue,,,5.9
kill bill vol 2,2004,2004-04-08,8.0
capote,2005,2005-09-02,7.3
serenity,2005,2005-08-22,7.8
goal,2005,2005-09-08,6.7
lovely bones,2009,2009-11-24,6.6
casino royale,2006,2006-11-14,8.0
before sunset,2004,2004-02-10,8.1
white chicks,2004,2004-06-23,5.8
310 to yuma,2007,2007-08-21,7.7
hide and seek,2005,2005-01-27,5.9
