title,year,release_date_imdb,rating_imdb
wargames,1983,1983-05-19,7.1
2010 the year we make contact,1984,1984-12-07,6.7
amadeus,1984,1984-09-06,8.4
beverly hills cop,1984,1984-12-01,7.4
blood simple,1984,1984-03-26,7.6
children of the corn,1984,1984-03-09,5.6
conan the destroyer,1984,1984-06-29,5.9
dune,1984,1984-12-03,6.3
footloose,1984,1984-02-17,6.6
friday the 13th the final chapter,1984,1984-04-13,6.0
ghostbusters,1984,1984-06-07,7.8
gremlins,1984,1984-06-08,7.3
indiana jones and the temple of doom,1984,1984-05-08,7.5
karate kid,1984,1984-06-22,7.3
kaze no tani no naushika,1984,1984-03-11,8.0
killing fields,1984,1984-11-02,7.8
natural,1984,1984-05-11,7.4
nightmare on elm street,,,7.4
once upon a time in america,1984,1984-05-20,8.3
police academy,1984,1984-03-10,6.7
red dawn,1984,1984-08-10,6.3
revenge of the nerds,1984,1984-07-20,6.6
romancing the stone,1984,1984-03-24,6.9
sixteen candles,1984,1984-05-04,7.0
splash,1984,1984-03-09,6.3
star trek iii the search for spock,1984,1984-06-01,6.6
starman,1984,1984-12-14,7.0
terminator,1984,1984-10-26,8.1
this is spinal tap,1984,1984-03-02,7.9
top secret,1984,1984-06-22,7.2
neverending story,1984,1984-04-06,7.3
after hours,1985,1985-08-16,7.6
back to the future,1985,1985-07-03,8.5
brazil,,,7.9
breakfast club,1985,1985-02-07,7.8
clue,1985,1985-12-13,7.2
cocoon,1985,1985-06-21,6.7
color purple,1985,1985-12-16,7.7
commando,1985,1985-10-04,6.7
day of the dead,1985,1985-06-30,7.1
enemy mine,1985,1985-12-12,6.8
fletch,1985,1985-05-31,6.9
fright night,1985,1985-08-02,7.1
goonies,1985,1985-06-07,7.7
jewel of the nile,1985,1985-12-04,6.1
legend,,,6.3
mad max beyond thunderdome,1985,1985-06-29,6.2
national lampoons european vacation,1985,1985-07-26,6.2
nightmare on elm street part 2 freddys revenge,,,5.4
out of africa,1985,1985-12-10,7.1
pale rider,1985,1985-05-13,7.3
peewees big adventure,1985,1985-07-26,7.0
police academy 2 their first assignment,1985,1985-03-29,5.7
purple rose of cairo,1985,1985-01-26,7.7
rambo first blood part ii,1985,1985-05-22,6.5
ran,1985,1985-05-25,8.2
reanimator,1985,1985-05-11,7.2
return of the living dead,1985,1985-04-18,7.3
rocky iv,1985,1985-11-21,6.9
spies like us,1985,1985-12-06,6.4
view to a kill,1985,1985-05-22,6.3
weird science,1985,1985-08-02,6.6
witness,1985,1985-02-07,7.4
crocodile dundee,1986,1986-04-24,6.6
aliens,1986,1986-07-14,8.4
big trouble in little china,1986,1986-07-02,7.2
blue velvet,1986,1986-08-30,7.7
cobra,,,5.8
color of money,1986,1986-10-08,7.0
down by law,1986,1986-05-17,7.7
ferris buellers day off,1986,1986-06-11,7.8
flight of the navigator,1986,1986-07-30,6.9
fly,1986,1986-08-15,7.6
jason lives friday the 13th part vi,1986,1986-08-01,6.0
golden child,1986,1986-12-12,5.9
great mouse detective,1986,1986-06-23,7.1
hannah and her sisters,1986,1986-01-25,7.8
highlander,,,7.0
hitcher,1986,1986-01-17,7.2
labyrinth,1986,1986-06-27,7.3
little shop of horrors,1986,1986-12-19,7.1
manhunter,1986,1986-08-15,7.2
mission,1986,1986-05-16,7.4
money pit,1986,1986-03-26,6.4
platoon,1986,1986-12-19,8.1
pretty in pink,1986,1986-01-29,6.7
short circuit,1986,1986-05-09,6.6
stand by me,1986,1986-08-06,8.1
star trek iv the voyage home,1986,1986-11-21,7.3
tenku no shiro rapyuta,1986,1986-08-02,8.0
three amigos,1986,1986-12-10,6.5
top gun,1986,1986-05-12,6.9
crocodile dundee ii,1988,1988-05-20,5.7
angel heart,1987,1987-03-06,7.2
beverly hills cop ii,1987,1987-05-19,6.5
bloodsport,,,6.8
dirty dancing,1987,1987-08-17,7.0
empire of the sun,1987,1987-12-08,7.7
evil dead ii,1987,1987-03-13,7.7
fatal attraction,1987,1987-09-16,6.9
full metal jacket,1987,1987-06-17,8.3
good morning vietnam,1987,1987-12-23,7.3
innerspace,1987,1987-07-01,6.8
lethal weapon,1987,1987-03-06,7.6
living daylights,1987,1987-06-27,6.7
lost boys,1987,1987-07-27,7.2
moonstruck,1987,1987-12-01,7.1
nightmare on elm street 3 dream warriors,1987,1987-02-27,6.6
over the top,1987,1987-02-12,5.8
overboard,1987,1987-12-16,6.9
planes trains automobiles,1987,1987-11-25,7.6
predator,1987,1987-06-12,7.8
princess bride,1987,1987-09-18,8.0
raising arizona,1987,1987-03-06,7.3
robocop,1987,1987-07-17,7.6
running man,1987,1987-11-13,6.7
spaceballs,1987,1987-06-24,7.1
superman iv the quest for peace,1987,1987-07-23,3.7
3 men and a baby,1987,1987-11-23,6.1
untouchables,1987,1987-06-02,7.8
wall street,1987,1987-12-11,7.3
witches of eastwick,1987,1987-06-12,6.5
beetlejuice,1988,1988-03-29,7.5
big,1988,1988-06-03,7.3
bull durham,1988,1988-06-15,7.1
childs play,1988,1988-11-09,6.7
cocktail,1988,1988-07-29,5.9
coming to america,1988,1988-06-26,7.1
dangerous liaisons,1988,1988-12-11,7.6
dead ringers,1988,1988-09-08,7.2
hard,1988,1988-07-12,8.2
fish called wanda,1988,1988-07-07,7.5
frantic,1988,1988-02-19,6.9
great outdoors,1988,1988-06-17,6.6
halloween 4 the return of michael myers,1988,1988-10-21,5.8
hotaru no haka,1988,1988-04-16,8.5
land before time,1988,1988-11-12,7.4
last temptation of christ,1988,1988-05-26,7.5
midnight run,1988,1988-07-11,7.5
mississippi burning,1988,1988-12-02,7.8
naked gun from the files of police squad,1988,1988-12-02,7.6
nightmare on elm street 4 the dream master,1988,1988-08-19,5.6
nuovo cinema paradiso,1988,1988-09-29,8.5
oliver company,1988,1988-11-13,6.6
rain man,1988,1988-12-12,8.0
rambo iii,1988,1988-05-25,5.8
red heat,1988,1988-06-14,6.1
scrooged,1988,1988-11-17,6.9
they live,1988,1988-11-04,7.2
tonari no totoro,1988,1988-04-16,8.1
twins,1988,1988-12-08,6.1
who framed roger rabbit,1988,1988-06-21,7.7
willow,1988,1988-05-20,7.2
working girl,1988,1988-12-20,6.8
young guns,1988,1988-08-10,6.8
burbs,,,6.8
abyss,1989,1989-08-08,7.5
adventures of baron munchausen,1988,1988-12-08,7.1
back to the future part ii,,,7.8
batman,1989,1989-06-19,7.5
bill teds excellent adventure,1989,1989-02-17,6.9
black rain,1989,1989-09-22,6.6
born on the fourth of july,1989,1989-12-20,7.2
crimes and misdemeanors,1989,1989-10-12,7.8
dead poets society,1989,1989-06-02,8.1
do the right thing,1989,1989-05-19,8.0
driving miss daisy,1989,1989-12-11,7.3
field of dreams,1989,1989-04-21,7.5
ghostbusters ii,1989,1989-06-15,6.6
glory,1989,1989-12-15,7.8
heathers,1988,1988-10-24,7.2
honey i shrunk the kids,,,6.4
indiana jones and the last crusade,1989,1989-05-24,8.2
kickboxer,,,6.4
lethal weapon 2,1989,1989-07-05,7.3
licence to kill,1989,1989-06-13,6.6
little mermaid,1989,1989-11-13,7.6
look whos talking,1989,1989-10-12,5.9
national lampoons christmas vacation,1989,1989-11-30,7.5
parenthood,1989,1989-07-31,7.1
pet sematary,1989,1989-04-21,6.5
road house,1989,1989-05-19,6.7
see no evil hear no evil,1989,1989-05-12,6.8
star trek v the final frontier,1989,1989-06-09,5.5
steel magnolias,1989,1989-11-05,7.3
tango cash,1989,1989-12-22,6.4
turner hooch,1989,1989-07-21,6.2
uncle buck,1989,1989-08-16,7.1
war of the roses,1989,1989-12-04,6.8
when harry met sally,1989,1989-07-12,7.7
sex lies and videotape,1989,1989-01-20,7.2
arachnophobia,1990,1990-07-18,6.5
awakenings,1990,1990-12-12,7.8
back to the future part iii,1990,1990-05-25,7.4
childs play 2,1990,1990-11-09,5.9
crybaby,1990,1990-04-06,6.5
dances with wolves,1990,1990-10-19,8.0
darkman,1990,1990-08-24,6.4
days of thunder,1990,1990-06-27,6.1
dick tracy,1990,1990-06-13,6.2
hard 2,1990,1990-07-02,7.1
edward scissorhands,1990,1990-12-06,7.9
flatliners,1990,1990-08-06,6.5
ghost,1990,1990-07-13,7.1
godfather part iii,1990,1990-12-20,7.6
goodfellas,1990,1990-09-09,8.7
gremlins 2 the new batch,1990,1990-06-15,6.4
home alone,1990,1990-11-10,7.7
hunt for red october,1990,1990-03-02,7.5
jacobs ladder,1990,1990-10-29,7.4
kindergarten cop,,,6.2
millers crossing,,,7.7
misery,1990,1990-11-29,7.8
predator 2,1990,1990-11-19,6.3
pretty woman,1990,1990-03-23,7.1
robocop 2,1990,1990-06-22,5.8
rocky v,1990,1990-11-13,5.3
teenage mutant ninja turtles,1990,1990-03-30,6.8
total recall,1990,1990-05-31,7.5
tremors,1990,1990-01-19,7.1
wild at heart,1990,1990-05-19,7.2
addams family,1991,1991-11-19,6.9
backdraft,1991,1991-05-22,6.7
barton fink,1991,1991-05-18,7.6
beauty and the beast,1991,1991-09-29,8.0
bill teds bogus journey,1991,1991-07-19,6.3
boyz n the hood,1991,1991-05-13,7.8
cape fear,1991,1991-10-06,7.3
city slickers,1991,1991-06-07,6.8
doors,1991,1991-02-23,7.2
father of the bride,1991,1991-12-20,6.5
fisher king,1991,1991-09-10,7.5
freddys dead the final nightmare,1991,1991-09-05,4.7
fried green tomatoes,1991,1991-12-27,7.7
hook,1991,1991-12-08,6.8
hot shots,1991,1991-07-26,6.7
hudson hawk,1991,1991-05-24,5.7
jfk,1991,1991-12-19,8.0
last boy scout,1991,1991-12-12,7.0
my girl,,,6.9
my own private idaho,1991,1991-07-20,7.0
naked gun 212 the smell of fear,,,6.9
naked lunch,1991,1991-12-12,6.9
night on earth,1991,1991-10-04,7.7
point break,1991,1991-07-10,7.3
robin hood prince of thieves,1991,1991-06-14,6.9
rocketeer,1991,1991-06-19,6.6
silence of the lambs,1991,1991-01-30,8.6
sleeping with the enemy,1991,1991-02-04,6.3
star trek vi the undiscovered country,1991,1991-12-03,7.2
teenage mutant ninja turtles ii the secret of the ooze,1991,1991-03-22,6.0
terminator 2 judgment day,1991,1991-07-01,8.6
thelma louise,1991,1991-05-20,7.6
