title,release_date_meta,year,rating_metacritic
1492 conquest of paradise,1992-10-09,1992,47
architect,2006-12-01,2006,47
nostalgia,2018-02-16,2018,47
tenants,2006-02-03,2006,46
3 dancing slaves,2005-09-02,2005,46
white on rice,2009-09-11,2009,45
rosencrantz and guildenstern are undead,2010-06-04,2010,45
where hands touch,2018-09-14,2018,44
dough,2016-04-29,2016,44
closer you get,2000-02-25,2000,44
young unknowns,2003-04-11,2003,43
breaking the girls,2013-07-26,2013,42
midnight eagle,2007-11-23,2007,42
killerman,2019-08-30,2019,42
toxic avenger,1986-04-11,1986,42
white rabbit,2015-02-13,2015,41
dark place,2019-04-12,2019,41
sal,2013-11-01,2013,41
being frank,2019-06-14,2019,41
sarah palin you betcha,2011-09-30,2011,41
hate crime,2006-03-16,2006,41
never been thawed,2005-10-07,2005,41
forgiven,2018-03-09,2018,41
ceremony,2011-04-08,2011,40
nightbreed,1990-02-16,1990,40
from the land of the moon,2017-07-28,2017,40
twist,2004-05-21,2004,39
confusion of genders,2003-07-04,2003,39
psychopaths,2017-12-01,2017,37
stardom,2000-10-27,2000,36
swing,2004-06-18,2004,36
action jackson,1988-02-12,1988,36
circuit,2002-04-26,2002,36
well never have paris,2015-01-22,2015,36
being human,1994-05-06,1994,33
amnesiac,2015-08-14,2015,33
christmas candle,2013-11-22,2013,33
11th hour,2015-06-12,2015,32
6 month rule,2012-06-01,2012,31
presidio,1988-06-10,1988,31
chander pahar mountains of the moon,2014-01-10,2014,29
literally right before aaron,2017-09-29,2017,28
chloe and theo,2015-09-04,2015,24
30 beats,2012-07-20,2012,20
nashville,1975-06-11,1975,96
stagecoach,1939-03-03,1939,93
american in paris,1951-11-11,1951,84
carmine street guitars,2019-04-24,2019,82
cousin jules,2013-11-27,2013,81
living in oblivion,1995-07-21,1995,81
midnight traveler,2019-09-18,2019,80
all is well,2019-06-06,2019,80
quest for fire,1982-02-12,1982,79
hotel by the river,2019-02-15,2019,79
two family house,2000-10-06,2000,79
love antosha,2019-08-02,2019,78
henri langlois the phantom of the cinematheque,2005-10-12,2005,78
hooligan sparrow,2016-07-22,2016,78
home of the brave,2004-10-27,2004,77
presenting princess shaw,2016-05-27,2016,77
sobibor 14 octobre 1943 16 heures,2001-10-12,2001,77
miles davis birth of the cool,2019-08-23,2019,76
place in the sun,1951-08-14,1951,76
house party,1990-03-09,1990,76
anita oday the life of a jazz singer,2008-08-15,2008,76
time to choose,2016-06-03,2016,75
ballplayer pelotero,2012-07-13,2012,75
notes on blindness,2016-11-16,2016,75
jeremiah johnson,1972-05-12,1972,75
under the wire,2018-11-16,2018,75
kids for cash,2014-02-07,2014,75
another road home,2005-04-29,2005,75
down from the mountain,2001-06-15,2001,75
very semiserious,2015-11-20,2015,74
raise hell the life times of molly ivins,2019-08-30,2019,74
egg,2019-01-18,2019,74
chisholm 72 unbought unbossed,2004-09-24,2004,73
werewolf,2018-03-01,2018,73
fall of fujimori,2006-01-18,2006,73
sky ladder the art of cai guoqiang,2016-10-14,2016,73
knuckleball,2012-09-21,2012,73
uprising 2013,2013-01-11,2013,73
berlin,2008-07-18,2008,72
full battle rattle,2008-07-09,2008,72
great invisible,2014-10-29,2014,72
when i saw you,2014-01-15,2014,72
dormant beauty,2014-06-06,2014,72
thirst street,2017-09-20,2017,71
on the town,1949-12-30,1949,71
never steady never still,2018-06-22,2018,70
sworn virgin,2016-04-22,2016,70
wheres my roy cohn,2019-09-20,2019,70
duellists,1978-01-13,1978,70
our father,2004-02-20,2004,70
bob roberts,1992-09-04,1992,70
gabrielle,2014-07-04,2014,70
wait for your laugh,2017-11-03,2017,70
eyes of tammy faye,2000-07-21,2000,69
youth,2017-12-15,2017,69
melody time,1948-05-27,1948,69
10,1979-10-05,1979,68
police story 2 1988,2019-03-08,2019,68
presidents last bang,2005-10-14,2005,68
dry white season,1989-09-20,1989,68
storm boy,2019-04-05,2019,67
pianomania,2011-11-04,2011,67
harmony and me,2009-09-18,2009,67
fiddler on the roof,1971-11-03,1971,67
spy behind home plate,2019-05-24,2019,67
smash grab the story of the pink panthers,2013-07-31,2013,66
mosquita y mari,2012-08-03,2012,66
eteam,2014-10-22,2014,66
norman lear just another version of you,2016-07-08,2016,66
white king red rubber black death,2005-10-21,2005,65
they call us monsters,2017-01-20,2017,65
touch me not,2019-01-11,2019,65
dont leave home,2018-09-14,2018,65
teenage,2014-03-14,2014,64
sister helen,2003-10-24,2003,64
west of sunshine,2019-01-18,2019,64
tip top,2014-12-12,2014,64
last call at the oasis,2012-05-04,2012,64
low tide,2019-10-04,2019,64
persons of interest,2004-09-03,2004,63
hannah,2018-02-23,2018,63
klitschko,2011-10-21,2011,63
little jerusalem,2006-01-27,2006,63
seoul searching,2016-06-17,2016,63
night shift,1982-07-30,1982,62
dreams of a life,2012-08-03,2012,62
we are the flesh,2017-01-13,2017,62
last mountain,2011-06-03,2011,62
girls rock,2008-03-07,2008,62
princesa,2001-12-07,2001,62
farmageddon,2011-07-08,2011,62
before you know it,2019-08-30,2019,61
quest of alain ducasse,2018-06-08,2018,61
backyard,2003-08-29,2003,61
bicycling with moliere,2014-04-23,2014,61
resurrect dead the mystery of the toynbee tiles,2011-09-02,2011,60
mrs hyde,2018-04-27,2018,60
outrageous sophie tucker,2015-07-24,2015,59
mr hollands opus,1996-01-19,1996,59
love valour compassion,1997-05-16,1997,59
land imagined,2019-04-12,2019,59
24 days,2015-04-24,2015,59
where soldiers come from,2011-09-09,2011,58
bottom of the 9th,2019-07-19,2019,58
house of tomorrow,2018-04-27,2018,58
go further,2004-10-08,2004,58
free radicals,2004-07-23,2004,58
somebody up there likes me,2013-03-08,2013,58
notebook,2014-08-29,2014,57
laundromat,2019-09-27,2019,57
cet amourla,2003-04-02,2003,57
three peaks,2019-06-28,2019,57
backstage,2006-11-22,2006,57
saudate for the future,2001-06-20,2001,57
how to live forever,2011-05-13,2011,57
collaborator,2012-07-06,2012,56
misandrists,2018-05-25,2018,56
rollerball,1975-06-25,1975,56
claire dolan,2000-02-25,2000,56
tiger eyes,2013-06-07,2013,56
breaking upwards,2010-04-02,2010,56
diary of a chambermaid,2016-06-10,2016,56
detour,2013-03-29,2013,55
loro,2019-09-20,2019,55
breakin 2 electric boogaloo,1984-12-21,1984,55
little pink house,2018-04-20,2018,55
girl is in trouble,2015-04-03,2015,55
maries story,2015-05-01,2015,54
explicit ills,2009-03-06,2009,54
honour,2014-07-11,2014,53
heart of me,2003-06-13,2003,53
putins kiss,2012-02-17,2012,52
citizen koch,2014-06-06,2014,52
in the name of,2013-10-30,2013,52
heavy metal,1981-08-07,1981,51
11 minutes,2016-04-08,2016,51
first descent,2005-12-02,2005,51
moscow never sleeps,2017-06-09,2017,51
youre killing me susana,2017-02-17,2017,50
beauty remains,2007-09-19,2007,49
body,2015-12-11,2015,49
half magic,2018-02-23,2018,49
stagedoor,2006-05-24,2006,49
crazy wisdom the life times of chogyam trungpa rinpoche,2011-11-25,2011,48
my amityville horror,2013-03-15,2013,48
world made straight,2015-01-09,2015,48
condo painting,2000-03-10,2000,48
coffee date,2006-11-10,2006,47
who killed bambi,2004-11-12,2004,47
perfect,1985-06-07,1985,46
digging up the marrow,2015-02-20,2015,45
fire and ice,1983-08-26,1983,45
foul play,1978-07-14,1978,45
swimming with men,2018-12-07,2018,44
angels in the outfield,1994-07-15,1994,44
carbon nation,2011-02-11,2011,44
steve sky,2005-07-08,2005,44
great role,2005-05-06,2005,43
crooked arrows,2012-06-01,2012,42
mighty fine,2012-05-25,2012,42
pizza,2006-01-20,2006,42
u want me 2 kill him,2014-03-14,2014,42
intended,2004-06-25,2004,42
loss of sexual innocence,1999-05-28,1999,42
milwaukee minnesota,2005-06-03,2005,41
nowhere man,2005-03-11,2005,41
acceptable loss,2019-01-18,2019,40
rodin,2018-06-01,2018,39
till human voices wake us,2003-02-21,2003,39
vincent wants to sea,2011-06-24,2011,39
confessions of a burning man,2004-02-27,2004,37
aardvark,2018-04-13,2018,37
cant buy me love,1987-08-14,1987,36
stateside,2004-05-21,2004,35
isnt she great,2000-01-28,2000,34
losing control,2012-03-23,2012,33
my favorite martian,1999-02-12,1999,33
perfect holiday,2007-12-12,2007,32
beyond honor,2006-03-17,2006,32
least among saints,2012-10-12,2012,32
curse of downers grove,2015-08-21,2015,31
cost of a soul,2011-05-20,2011,30
immigration tango,2011-02-18,2011,28
maladies,2014-03-21,2014,28
saturn 3,1980-02-15,1980,9
force of evil,1949-03-01,1949,89
general,1998-12-18,1998,81
hill,1965-10-03,1965,81
freshman,1990-07-20,1990,78
iron ministry,2015-08-21,2015,76
guerrilla the taking of patty hearst,2004-11-26,2004,75
donbass,2019-01-11,2019,74
gun crazy,1950-01-20,1950,74
watermelon woman,1997-03-05,1997,74
kiki,2017-02-24,2017,73
after the life,2004-02-13,2004,73
mike wallace is here,2019-07-26,2019,73
little feet,2014-12-12,2014,73
breaker morant,1980-10-15,1980,72
plagues and pleasures on the salton sea,2007-04-20,2007,72
battle for brooklyn,2011-06-17,2011,71
koch,2013-02-01,2013,71
bugsy malone,1976-09-15,1976,71
letters from baghdad,2017-06-02,2017,71
paint it black,2017-05-19,2017,71
tel aviv on fire,2019-08-02,2019,70
better living through circuitry,2000-05-26,2000,70
jason becker not dead yet,2012-12-14,2012,70
beautiful darling,2011-04-22,2011,69
rosenwald,2015-08-14,2015,67
it came from kuchar,2010-04-09,2010,67
guidance,2015-08-21,2015,66
littlerock,2011-08-12,2011,66
harvest of empire,2012-09-28,2012,66
swell season,2011-04-22,2011,65
faster pussycat kill kill,1965-08-06,1965,65
fishing without nets,2014-09-26,2014,65
naz maalik,2016-01-22,2016,65
monsieur n,2005-01-21,2005,65
red flag,2013-02-22,2013,65
wolke neun,2009-08-28,2009,64
sample this,2013-09-13,2013,64
wrestling with angels playwright tony kushner,2006-10-04,2006,64
almost man,2014-08-01,2014,64
coming through the rye,2016-10-14,2016,64
enzo avitabile music life,2013-10-18,2013,64
we are x,2016-10-21,2016,64
woman is the future of man,2006-03-03,2006,63
caine mutiny,1954-06-24,1954,63
rubble kings,2015-06-19,2015,62
punching the clown,2010-10-22,2010,62
stolen childhoods,2005-05-20,2005,62
nearing grace,2006-10-13,2006,62
dreams rewired,2015-12-16,2015,62
invisibles,2019-01-25,2019,60
len and company,2016-06-10,2016,60
go for sisters,2013-11-08,2013,59
follow me the yoni netanyahu story,2012-05-18,2012,58
blossoms of fire,2006-01-20,2006,58
defamation,2009-11-20,2009,58
pulling strings,2013-10-04,2013,57
rubberneck,2013-02-22,2013,57
confetti,2006-09-15,2006,57
shake hands with the devil,2010-10-29,2010,57
limelight,2011-09-23,2011,57
i olga hepnarova,2017-03-24,2017,57
sushi the global catch,2012-08-03,2012,57
sacrifice,2012-07-27,2012,57
tommys honour,2017-04-14,2017,56
greedy lying bastards,2013-03-08,2013,56
driver,1978-07-28,1978,56
3 hearts,2015-03-13,2015,56
spark a burning man story,2013-08-16,2013,55
union square,2012-07-13,2012,55
dreaming of joseph lees,1999-10-29,1999,55
i am eleven,2014-09-12,2014,55
brooklyn brothers beat the best,2012-09-21,2012,54
whole new thing,2007-04-06,2007,54
amu,2007-05-25,2007,54
next of kin,1989-10-20,1989,53
group,2002-07-05,2002,53
ghost river,2004-03-05,2004,52
zorro the gay blade,1981-07-17,1981,52
american chaos,2018-09-14,2018,52
private peaceful,2014-10-31,2014,51
song of sway lake,2018-09-21,2018,51
twelve thirty,2011-01-14,2011,50
human scale,2013-10-18,2013,50
auggie rose,2001-06-15,2001,49
just like us,2011-06-10,2011,49
special treatment,2011-08-26,2011,49
meeting resistance,2007-10-19,2007,49
when comedy went to school,2013-07-31,2013,49
incantato,2004-09-24,2004,48
spring fever,2010-08-06,2010,47
dry land,2010-07-30,2010,47
un me,2012-06-01,2012,46
little darlings,1980-03-21,1980,45
paternity,1981-10-02,1981,45
hey bartender,2013-06-07,2013,44
suspended animation,2003-10-31,2003,43
jake speed,1986-05-30,1986,42
tonight youre mine,2012-05-11,2012,41
two moon junction,1988-04-29,1988,38
shock treatment,1981-10-31,1981,36
take care,2014-12-05,2014,34
wait,2014-01-31,2014,34
time being,2013-07-26,2013,29
answers to nothing,2011-12-02,2011,29
condemned,2013-03-01,2013,29
crash,2017-01-13,2017,28
mccanick,2014-03-21,2014,28
friended to death,2014-05-02,2014,26
besotted,2002-11-01,2002,20
unplanned,2019-03-29,2019,10
darkness,2004-12-25,2004,15
kung pow enter the fist,2002-01-25,2002,14
knock down the house,2019-05-01,2019,80
marci x,2003-08-22,2003,20
valentine,2001-02-02,2001,18
deuces wild,2001-05-03,2001,16
mortal kombat annihilation,1997-11-21,1997,11
harlem nights,1989-11-17,1989,16
jawbreaker,1999-02-19,1999,22
surviving christmas,2004-10-22,2004,19
ottoman lieutenant,2017-03-10,2017,26
ready to rumble,2000-04-07,2000,23
mod squad,1999-03-26,1999,16
adam,2019-08-14,2019,64
dracula 2000,2000-12-22,2000,26
here on earth,2000-03-24,2000,25
double take,2001-01-12,2001,25
in the name of the king a dungeon siege tale,2008-01-11,2008,15
sorority row,2009-09-11,2009,24
half baked,1998-01-16,1998,16
bats,1999-10-22,1999,23
tales of erotica,2003-02-21,2003,24
without a paddle,2004-08-20,2004,29
phantoms,1998-01-23,1998,26
what love is,2007-03-23,2007,14
maria full of grace,2004-07-16,2004,87
half past dead,2002-11-15,2002,23
last face,2017-07-28,2017,16
cursed,2005-02-25,2005,31
nurse betty,2000-09-08,2000,69
vegas vacation,1997-02-14,1997,20
new guy,2002-05-10,2002,24
bloodrayne,2006-01-06,2006,18
quiet,2006-08-25,2006,29
they,2002-11-27,2002,31
grind,2003-08-15,2003,30
corky romano,2001-10-12,2001,20
she hate me,2004-07-28,2004,28
hell ride,2008-08-08,2008,25
tiger and the snow,2006-12-29,2006,22
pavilion of women,2001-05-04,2001,26
pulse,2006-08-11,2006,27
rambo last blood,2019-09-20,2019,26
deception,2008-04-25,2008,31
idle hands,1999-04-30,1999,31
antitrust,2001-01-12,2001,31
dead man on campus,1998-08-21,1998,27
